"","date","weekday"
"1","08/10/15","Monday"
"2","08/10/15","Monday"
"3","08/10/15","Monday"
"4","08/10/15","Monday"
"5","08/10/15","Monday"
"6","08/10/15","Monday"
"7","08/11/15","Tuesday"
"8","08/11/15","Tuesday"
"9","08/11/15","Tuesday"
"10","08/11/15","Tuesday"
"11","08/11/15","Tuesday"
"12","08/11/15","Tuesday"
"13","08/12/15","Wednesday"
"14","08/12/15","Wednesday"
"15","08/12/15","Wednesday"
"16","08/12/15","Wednesday"
"17","08/12/15","Wednesday"
"18","08/12/15","Wednesday"
"19","08/13/15","Thursday"
"20","08/13/15","Thursday"
"21","08/13/15","Thursday"
"22","08/13/15","Thursday"
"23","08/13/15","Thursday"
"24","08/13/15","Thursday"
"25","08/19/15","Wednesday"
"26","08/19/15","Wednesday"
"27","08/19/15","Wednesday"
"28","08/19/15","Wednesday"
"29","08/19/15","Wednesday"
"30","08/19/15","Wednesday"
"31","08/20/15","Thursday"
"32","08/20/15","Thursday"
"33","08/20/15","Thursday"
"34","08/20/15","Thursday"
"35","08/20/15","Thursday"
"36","08/20/15","Thursday"
"37","08/21/15","Friday"
"38","08/21/15","Friday"
"39","08/21/15","Friday"
"40","08/21/15","Friday"
"41","08/21/15","Friday"
"42","08/21/15","Friday"
"43","08/24/15","Monday"
"44","08/24/15","Monday"
"45","08/24/15","Monday"
"46","08/24/15","Monday"
"47","08/24/15","Monday"
"48","08/24/15","Monday"
"49","08/25/15","Tuesday"
"50","08/25/15","Tuesday"
"51","08/25/15","Tuesday"
"52","08/25/15","Tuesday"
"53","08/25/15","Tuesday"
"54","08/25/15","Tuesday"
"55","08/26/15","Wednesday"
"56","08/26/15","Wednesday"
"57","08/26/15","Wednesday"
"58","08/26/15","Wednesday"
"59","08/26/15","Wednesday"
"60","08/26/15","Wednesday"
"61","08/27/15","Thursday"
"62","08/27/15","Thursday"
"63","08/27/15","Thursday"
"64","08/27/15","Thursday"
"65","08/27/15","Thursday"
"66","08/27/15","Thursday"
"67","08/28/15","Friday"
"68","08/28/15","Friday"
"69","08/28/15","Friday"
"70","08/28/15","Friday"
"71","08/28/15","Friday"
"72","08/28/15","Friday"
"73","08/31/15","Monday"
"74","08/31/15","Monday"
"75","08/31/15","Monday"
"76","08/31/15","Monday"
"77","08/31/15","Monday"
"78","08/31/15","Monday"
"79","09/01/15","Tuesday"
"80","09/01/15","Tuesday"
"81","09/01/15","Tuesday"
"82","09/01/15","Tuesday"
"83","09/01/15","Tuesday"
"84","09/01/15","Tuesday"
"85","09/02/15","Wednesday"
"86","09/02/15","Wednesday"
"87","09/02/15","Wednesday"
"88","09/02/15","Wednesday"
"89","09/02/15","Wednesday"
"90","09/02/15","Wednesday"
"91","09/06/15","Sunday"
"92","09/06/15","Sunday"
"93","09/06/15","Sunday"
"94","09/06/15","Sunday"
"95","09/06/15","Sunday"
"96","09/06/15","Sunday"
"97","09/07/15","Monday"
"98","09/07/15","Monday"
"99","09/07/15","Monday"
"100","09/07/15","Monday"
"101","09/07/15","Monday"
"102","09/07/15","Monday"
"103","09/08/15","Tuesday"
"104","09/08/15","Tuesday"
"105","09/08/15","Tuesday"
"106","09/08/15","Tuesday"
"107","09/08/15","Tuesday"
"108","09/08/15","Tuesday"
"109","09/09/15","Wednesday"
"110","09/09/15","Wednesday"
"111","09/09/15","Wednesday"
"112","09/09/15","Wednesday"
"113","09/09/15","Wednesday"
"114","09/09/15","Wednesday"
"115","09/10/15","Thursday"
"116","09/10/15","Thursday"
"117","09/10/15","Thursday"
"118","09/10/15","Thursday"
"119","09/10/15","Thursday"
"120","09/10/15","Thursday"
"121","09/11/15","Friday"
"122","09/11/15","Friday"
"123","09/11/15","Friday"
"124","09/11/15","Friday"
"125","09/11/15","Friday"
"126","09/11/15","Friday"
"127","09/14/15","Monday"
"128","09/14/15","Monday"
"129","09/14/15","Monday"
"130","09/14/15","Monday"
"131","09/14/15","Monday"
"132","09/14/15","Monday"
"133","09/15/15","Tuesday"
"134","09/15/15","Tuesday"
"135","09/15/15","Tuesday"
"136","09/15/15","Tuesday"
"137","09/15/15","Tuesday"
"138","09/15/15","Tuesday"
"139","09/16/15","Wednesday"
"140","09/16/15","Wednesday"
"141","09/16/15","Wednesday"
"142","09/16/15","Wednesday"
"143","09/16/15","Wednesday"
"144","09/16/15","Wednesday"
"145","09/17/15","Thursday"
"146","09/17/15","Thursday"
"147","09/17/15","Thursday"
"148","09/17/15","Thursday"
"149","09/17/15","Thursday"
"150","09/17/15","Thursday"
"151","09/18/15","Friday"
"152","09/18/15","Friday"
"153","09/18/15","Friday"
"154","09/18/15","Friday"
"155","09/18/15","Friday"
"156","09/18/15","Friday"
"157","09/21/15","Monday"
"158","09/21/15","Monday"
"159","09/21/15","Monday"
"160","09/21/15","Monday"
"161","09/21/15","Monday"
"162","09/21/15","Monday"
"163","09/22/15","Tuesday"
"164","09/22/15","Tuesday"
"165","09/22/15","Tuesday"
"166","09/22/15","Tuesday"
"167","09/22/15","Tuesday"
"168","09/22/15","Tuesday"
"169","09/23/15","Wednesday"
"170","09/23/15","Wednesday"
"171","09/23/15","Wednesday"
"172","09/23/15","Wednesday"
"173","09/23/15","Wednesday"
"174","09/23/15","Wednesday"
"175","09/24/15","Thursday"
"176","09/24/15","Thursday"
"177","09/24/15","Thursday"
"178","09/24/15","Thursday"
"179","09/24/15","Thursday"
"180","09/24/15","Thursday"
"181","09/25/15","Friday"
"182","09/25/15","Friday"
"183","09/25/15","Friday"
"184","09/25/15","Friday"
"185","09/25/15","Friday"
"186","09/25/15","Friday"
"187","09/28/15","Monday"
"188","09/28/15","Monday"
"189","09/28/15","Monday"
"190","09/28/15","Monday"
"191","09/28/15","Monday"
"192","09/28/15","Monday"
