"","quantity","location","lat","long","service_time","batch_index","driver_index","visit_seq","usage"
"1",1,164,1.32250753467419,-0.723474446125898,2.875,1,2,4,1
"2",1,124,1.09969784491209,-0.841814700424492,0.516666666666667,1,2,9,1
"3",2,714,-1.17871647684605,0.943187299647029,2.08333333333333,4,63,2,1
"4",1,124,1.09969784491209,-0.841814700424492,1.01666666666667,1,2,8,1
"5",2,792,-0.757566529608216,1.24661486507367,0,7,117,7,1
"6",1,675,-0.233369254854753,0.820204533522286,16.3041666666667,4,55,10,1
"7",1,384,-0.77927884276396,-0.0979616734042245,0,2,12,3,1
"8",1,59,0.576534489833147,-1.02427417466869,0.5,4,47,10,1
"9",1,164,1.32250753467419,-0.723474446125898,9.87916666666666,2,20,1,1
"10",1,792,-0.752396931238063,1.2479287835156,0.516666666666667,7,117,8,1
"11",1,44,0.660281983432563,-1.08707947617236,0.550540929166667,7,68,5,1
"12",1,675,-0.233369254854753,0.820204533522286,0,4,55,11,1
"13",1,705,0.239304356140588,0.925843576219325,0.275,7,121,1,1
"14",1,124,1.09969784491209,-0.841814700424492,10.2125,2,20,2,1
"15",1,164,1.32250753467419,-0.723474446125898,1,1,2,6,1
"16",1,164,1.32250753467419,-0.723474446125898,0.516666666666667,1,2,5,1
"17",1,44,0.660281983432563,-1.08707947617236,1.88333333333333,4,54,9,1
"18",1,560,-0.276104601383432,0.368479373331579,0.516666666666667,7,69,10,1
"19",1,137,1.10952008181605,-0.813696845776226,1.2,4,57,4,1
"20",1,124,1.09969784491209,-0.841814700424492,5.11666666666667,2,20,3,1
"21",1,231,-0.287650037743501,-0.458238110066468,5.55833333333333,2,16,5,1
"22",1,681,-1.59383522598506,0.83824901345285,2.56666666666667,4,63,8,1
"23",1,302,-0.125324648914823,-0.263077424220716,5.81666666666667,12,110,1,1
"24",1,54,1.45898493165149,-1.05361835319634,30.0916666666667,24,154,1,0
"25",1,124,1.09969784491209,-0.841814700424492,0,1,2,7,1
"26",1,54,1.45898493165149,-1.05361835319634,0,7,160,1,1
"27",1,59,0.574811290375817,-1.03697538627024,7.77244112083333,4,51,2,1
"28",1,239,-0.293853555788175,-0.442821467019758,1.44166666666667,2,16,4,1
"29",2,400,-0.491159893589997,-0.0672159818733499,11.2458333333333,12,113,3,1
"30",1,681,-1.59383522598506,0.83824901345285,2.06666666666667,4,63,9,1
"31",1,80,1.19309525546961,-0.97548400320725,1.06666666666667,7,105,5,1
"32",1,80,1.19309525546961,-0.97548400320725,0,7,105,6,1
"33",1,754,-1.14907744618952,1.08885705752973,1.01666666666667,4,52,4,1
"34",1,59,0.574811290375817,-1.03697538627024,3.61666666666667,4,45,13,1
"35",1,20,0.793657621387528,-1.2494797955437,0.304166666666667,15,140,1,0
"36",1,20,0.793657621387528,-1.2494797955437,0.025,21,150,3,0
"37",1,137,1.10952008181605,-0.813696845776226,2.76666666666667,1,5,1,1
"38",1,80,1.19309525546961,-0.97548400320725,0,4,58,6,1
"39",1,506,-0.143590563156519,0.20275046057602,12.075,7,72,5,1
"40",1,59,0.576534489833147,-1.02427417466869,0.533333333333333,4,47,5,1
"41",2,714,-1.17871647684605,0.943187299647029,0,4,63,3,1
"42",1,685,-1.55437395842457,0.847621631668939,0.504166666666667,4,63,10,1
"43",1,681,-1.59383522598506,0.83824901345285,0.0166666666666667,1,3,3,1
"44",1,44,0.660281983432563,-1.08707947617236,0.0166666666666667,4,54,5,1
"45",1,699,-1.51267253157041,0.896411803130376,4.95833333333333,12,131,4,1
"46",1,302,-0.125324648914823,-0.263077424220716,0.5,12,110,3,1
"47",1,302,-0.125324648914823,-0.263077424220716,0,12,110,2,1
"48",1,20,0.793657621387528,-1.2494797955437,0,21,150,4,0
"49",1,125,1.48000796502443,-0.84242786236356,1.01666666666667,7,118,7,1
"50",1,24,0.678375577729016,-1.23012139717246,0.5,12,123,11,1
"51",1,24,0.678375577729016,-1.23012139717246,0.0166666666666667,12,123,10,1
"52",1,681,-1.59383522598506,0.83824901345285,1.53333333333333,7,90,5,1
"53",1,685,-1.55437395842457,0.847621631668939,5.68333333333333,4,63,11,1
"54",1,685,-1.55437395842457,0.847621631668939,15.35,4,63,4,1
"55",1,231,-0.287650037743501,-0.458238110066468,2.55,2,16,2,1
"56",1,231,-0.287650037743501,-0.458238110066468,6.63333333333333,2,16,3,1
"57",2,512,-0.183051830717006,0.23279539560528,4.58333333333333,12,108,7,1
"58",1,164,1.32250753467419,-0.723474446125898,0.233333333333333,4,57,6,1
"59",1,538,-0.5151123660388,0.307688746771444,6.39583333333333,12,108,8,1
"60",2,145,0.792796021658863,-0.761578080929321,0,4,58,2,1
"61",1,560,-0.276104601383432,0.368479373331579,10.9291666666667,7,69,8,1
"62",1,94,1.18516853796884,-0.93203710007482,0.0333333333333333,4,53,5,1
"63",1,80,1.19309525546961,-0.97548400320725,8.775,7,99,6,1
"64",1,560,-0.276104601383432,0.368479373331579,0.5,7,69,9,1
"65",1,59,0.576534489833147,-1.02427417466869,8.2,7,68,8,1
"66",1,699,-1.51267253157041,0.896411803130376,9.0375,4,61,2,1
"67",3,39,1.62665223879618,-1.111080386371,1,7,118,12,1
"68",1,94,1.18516853796884,-0.93203710007482,0.533333333333333,4,53,3,1
"69",3,94,1.18516853796884,-0.93203710007482,13.9,4,53,2,1
"70",2,796,-0.995540374590289,1.32544997156437,0,4,55,2,1
"71",2,796,-0.995540374590289,1.32544997156437,0,4,55,3,1
"72",1,563,-0.346066499328494,0.366464698388039,0.5,4,41,2,1
"73",2,804,-1.00846437051598,1.35023923282717,0,2,24,1,1
"74",2,239,-0.293853555788175,-0.442821467019758,0,4,39,5,1
"75",1,59,0.576534489833147,-1.02427417466869,10.7166666666667,1,4,1,1
"76",1,796,-0.995540374590289,1.32544997156437,1.06666666666667,2,24,10,1
"77",1,59,0.574811290375817,-1.03697538627024,1.61666666666667,4,45,10,1
"78",1,796,-0.995540374590289,1.32544997156437,1.03333333333333,2,24,6,1
"79",2,796,-0.995540374590289,1.32544997156437,0.516666666666667,2,24,3,1
"80",1,59,0.576534489833147,-1.02427417466869,0,1,4,2,1
"81",1,796,-0.995540374590289,1.32544997156437,1.05,2,24,4,1
"82",1,804,-1.00846437051598,1.35023923282717,0.516666666666667,2,24,13,1
"83",1,796,-0.995540374590289,1.32544997156437,0,2,24,7,1
"84",1,239,-0.293853555788175,-0.442821467019758,0.0166666666666667,7,71,2,1
"85",1,242,-0.418785516404795,-0.430120255418202,2.525,12,124,1,1
"86",1,796,-0.995540374590289,1.32544997156437,0,2,24,5,1
"87",1,796,-0.995540374590289,1.32544997156437,0.0166666666666667,2,24,11,1
"88",1,804,-1.00846437051598,1.35023923282717,0.420833333333333,2,24,12,1
"89",1,94,1.18516853796884,-0.93203710007482,3.82083333333333,4,53,7,1
"90",1,44,0.660281983432563,-1.08707947617236,1.01666666666667,12,123,5,1
"91",1,123,1.40832286762203,-0.841814700424492,4.00833333333333,1,8,3,1
"92",2,80,1.19309525546961,-0.97548400320725,1.70416666666667,4,53,6,1
"93",1,125,1.48000796502443,-0.84242786236356,1.05,4,57,9,1
"94",1,563,-0.346066499328494,0.366464698388039,0.0166666666666667,2,13,8,1
"95",1,44,0.660281983432563,-1.08707947617236,0,12,123,4,1
"96",1,63,1.46225901061907,-1.01893090633968,3.06666666666667,4,60,4,1
"97",1,44,0.660281983432563,-1.08707947617236,0,2,18,7,1
"98",1,94,1.18516853796884,-0.93203710007482,0,4,53,8,1
"99",1,756,-1.01432324866894,1.09761651380675,4.23333333333333,4,61,1,1
"100",1,54,1.45898493165149,-1.05361835319634,0,4,58,8,1
"101",1,796,-0.995540374590289,1.32544997156437,0.516666666666667,4,55,4,1
"102",1,563,-0.346066499328494,0.366464698388039,4.5,7,72,3,1
"103",1,681,-1.59383522598506,0.83824901345285,0,4,63,12,1
"104",1,796,-0.995540374590289,1.32544997156437,0.0166666666666667,4,55,7,1
"105",2,796,-0.995540374590289,1.32544997156437,12.1708333333333,2,24,2,1
"106",1,125,1.48000796502443,-0.84242786236356,1,1,2,11,1
"107",1,796,-0.995540374590289,1.32544997156437,0.516666666666667,2,24,8,1
"108",1,796,-0.995540374590289,1.32544997156437,0,4,55,5,1
"109",2,59,0.576534489833147,-1.02427417466869,1.03333333333333,4,47,2,1
"110",1,128,1.02404938875931,-0.837084594034552,10.1291666666667,4,57,2,1
"111",1,563,-0.346066499328494,0.366464698388039,3.3375,2,13,7,1
"112",1,164,1.32250753467419,-0.723474446125898,2.58333333333333,7,99,5,1
